customer_id,salary_day,true_intent_to_pay,reattempt_propensity,annoyance_threshold,resp_sms,resp_whatsapp,resp_email,tech_savviness
CUST_00112,10,0.684,0.489,4,0.16,0.347,0.062,0.87
CUST_00113,1,0.597,0.66,3,0.419,0.476,0.096,0.613
CUST_00114,25,0.683,0.7,4,0.162,0.517,0.167,0.944
CUST_00115,3,0.879,0.893,3,0.146,0.573,0.186,0.093
CUST_00116,1,0.398,0.624,2,0.207,0.56,0.052,0.943
CUST_00117,7,0.81,0.119,3,0.193,0.362,0.042,0.978
CUST_00118,1,0.629,0.267,2,0.16,0.419,0.154,0.859
CUST_00119,1,0.736,0.646,3,0.117,0.507,0.173,0.453
CUST_00120,1,0.848,0.475,4,0.229,0.451,0.075,0.715
CUST_00121,5,0.53,0.431,3,0.128,0.656,0.151,0.403
CUST_00122,10,0.255,0.149,3,0.26,0.643,0.164,0.694
CUST_00123,1,0.728,0.293,3,0.15,0.524,0.148,0.349
CUST_00124,1,0.899,0.201,3,0.246,0.54,0.062,0.312
CUST_00125,1,0.971,0.734,5,0.347,0.373,0.17,0.672
CUST_00126,7,0.81,0.261,4,0.194,0.434,0.033,0.976
CUST_00127,25,0.803,0.203,3,0.136,0.48,0.143,0.763
CUST_00128,15,0.487,0.558,4,0.352,0.545,0.2,0.55
CUST_00129,10,0.84,0.774,2,0.191,0.614,0.16,0.533
CUST_00130,1,0.88,0.209,3,0.211,0.572,0.162,0.781
CUST_00131,10,0.455,0.115,3,0.392,0.336,0.145,0.541
CUST_00132,1,0.837,0.331,2,0.357,0.515,0.059,0.885
CUST_00133,1,0.812,0.303,3,0.332,0.548,0.076,0.856
CUST_00134,1,0.651,0.328,2,0.132,0.48,0.153,0.531
CUST_00135,10,0.876,0.079,3,0.253,0.53,0.179,0.562
CUST_00136,10,0.862,0.178,4,0.163,0.421,0.091,0.107
CUST_00137,2,0.626,0.361,3,0.345,0.293,0.142,0.374
CUST_00138,15,0.95,0.561,4,0.241,0.356,0.108,0.899
CUST_00139,7,0.742,0.564,3,0.259,0.502,0.135,0.424
CUST_00140,1,0.459,0.274,3,0.26,0.602,0.152,0.321
CUST_00141,1,0.864,0.653,4,0.409,0.477,0.095,0.738
CUST_00142,7,0.725,0.434,3,0.343,0.395,0.05,0.492
CUST_00143,5,0.843,0.719,2,0.385,0.296,0.178,0.565
CUST_00144,2,0.917,0.042,4,0.39,0.66,0.15,0.639
CUST_00145,1,0.75,0.264,4,0.154,0.319,0.085,0.236
CUST_00146,1,0.56,0.242,3,0.176,0.589,0.12,0.607
CUST_00147,1,0.88,0.364,2,0.435,0.492,0.031,0.184
CUST_00148,7,0.68,0.103,3,0.191,0.425,0.137,0.467
CUST_00149,15,0.666,0.615,3,0.287,0.311,0.096,0.643
CUST_00150,1,0.282,0.327,3,0.156,0.349,0.172,0.263
CUST_00151,1,0.552,0.371,5,0.211,0.453,0.135,0.472
CUST_00152,3,0.792,0.453,4,0.401,0.313,0.122,0.903
CUST_00153,5,0.886,0.56,3,0.276,0.548,0.174,0.878
CUST_00154,3,0.679,0.472,3,0.264,0.455,0.038,0.47
CUST_00155,15,0.784,0.349,2,0.158,0.285,0.139,0.536
CUST_00156,1,0.549,0.443,3,0.163,0.681,0.132,0.494
CUST_00157,15,0.662,0.559,3,0.235,0.299,0.064,0.803
CUST_00158,1,0.657,0.638,3,0.115,0.488,0.069,0.788
CUST_00159,1,0.918,0.518,3,0.227,0.32,0.141,0.525
CUST_00160,2,0.812,0.333,4,0.256,0.565,0.058,0.553
CUST_00161,1,0.573,0.368,5,0.387,0.538,0.105,0.849
CUST_00162,1,0.626,0.08,3,0.437,0.374,0.133,0.4
CUST_00163,25,0.801,0.59,2,0.141,0.28,0.138,0.927
CUST_00164,3,0.784,0.51,4,0.405,0.343,0.064,0.709
CUST_00165,1,0.713,0.703,5,0.198,0.35,0.128,0.305
CUST_00166,3,0.71,0.38,4,0.228,0.474,0.066,0.84
CUST_00167,2,0.791,0.21,4,0.205,0.503,0.127,0.859
CUST_00168,25,0.846,0.614,3,0.336,0.469,0.155,0.735
CUST_00169,1,0.736,0.509,3,0.305,0.684,0.1,0.905
CUST_00170,10,0.749,0.218,4,0.11,0.549,0.176,0.656
CUST_00171,5,0.804,0.448,3,0.206,0.25,0.169,0.254
CUST_00172,2,0.74,0.602,3,0.184,0.594,0.185,0.829
CUST_00173,7,0.908,0.308,4,0.181,0.318,0.114,0.335
CUST_00174,10,0.709,0.793,3,0.37,0.449,0.155,0.142
CUST_00175,1,0.796,0.22,3,0.142,0.605,0.032,0.282
CUST_00176,25,0.678,0.157,4,0.254,0.337,0.147,0.572
CUST_00177,15,0.634,0.294,3,0.352,0.546,0.122,0.551
CUST_00178,15,0.746,0.082,3,0.345,0.365,0.092,0.65
CUST_00179,2,0.858,0.041,2,0.354,0.489,0.062,0.539
CUST_00180,7,0.69,0.372,3,0.354,0.524,0.126,0.516
CUST_00181,1,0.879,0.619,3,0.148,0.415,0.129,0.768
CUST_00182,7,0.689,0.408,4,0.246,0.641,0.178,0.296
CUST_00183,1,0.798,0.502,2,0.129,0.507,0.038,0.554
CUST_00184,7,0.939,0.551,3,0.222,0.394,0.131,0.279
CUST_00185,10,0.666,0.066,3,0.191,0.467,0.154,0.869
CUST_00186,1,0.439,0.771,5,0.135,0.392,0.177,0.613
CUST_00187,1,0.601,0.39,4,0.11,0.5,0.078,0.323
CUST_00188,1,0.811,0.332,2,0.448,0.689,0.055,0.883
CUST_00189,15,0.718,0.779,2,0.165,0.593,0.134,0.657
CUST_00190,7,0.682,0.189,4,0.123,0.667,0.198,0.841
CUST_00191,7,0.77,0.607,2,0.449,0.483,0.097,0.695
CUST_00192,3,0.737,0.52,4,0.428,0.563,0.053,0.756
CUST_00193,10,0.918,0.373,3,0.432,0.42,0.095,0.688
CUST_00194,10,0.882,0.329,4,0.29,0.253,0.18,0.485
CUST_00195,10,0.251,0.285,4,0.308,0.604,0.06,0.693
CUST_00196,7,0.631,0.357,5,0.269,0.56,0.189,0.633
CUST_00197,1,0.961,0.101,3,0.217,0.502,0.138,0.612
CUST_00198,1,0.688,0.428,3,0.217,0.603,0.1,0.797
CUST_00199,2,0.371,0.398,4,0.347,0.392,0.035,0.716
CUST_00200,15,0.707,0.155,4,0.15,0.642,0.17,0.416
CUST_00201,3,0.384,0.603,3,0.254,0.303,0.055,0.803
CUST_00202,7,0.857,0.786,2,0.309,0.517,0.172,0.775
CUST_00203,1,0.814,0.526,3,0.401,0.528,0.185,0.453
CUST_00204,1,0.919,0.687,4,0.286,0.43,0.1,0.732
CUST_00205,7,0.48,0.428,2,0.435,0.281,0.048,0.794
CUST_00206,1,0.564,0.363,3,0.42,0.387,0.19,0.659
CUST_00207,5,0.25,0.29,3,0.234,0.495,0.143,0.653
CUST_00208,1,0.799,0.164,4,0.312,0.442,0.061,0.631
CUST_00209,2,0.617,0.588,5,0.444,0.6,0.109,0.657
CUST_00210,1,0.684,0.417,4,0.201,0.266,0.187,0.679
CUST_00211,1,0.768,0.146,3,0.383,0.368,0.149,0.853
CUST_00212,3,0.627,0.699,3,0.205,0.586,0.158,0.49
CUST_00213,25,0.827,0.184,4,0.357,0.515,0.063,0.727
CUST_00214,1,0.418,0.693,2,0.33,0.655,0.126,0.701
CUST_00215,2,0.413,0.332,5,0.314,0.33,0.114,0.585
CUST_00216,3,0.671,0.487,5,0.272,0.446,0.173,0.707
CUST_00217,7,0.669,0.088,2,0.114,0.423,0.062,0.615
CUST_00218,5,0.692,0.441,2,0.12,0.605,0.037,0.29
CUST_00219,1,0.654,0.311,3,0.386,0.298,0.115,0.549
CUST_00220,10,0.846,0.14,3,0.424,0.268,0.047,0.769
CUST_00221,10,0.702,0.308,2,0.275,0.678,0.137,0.895
CUST_00222,7,0.452,0.523,3,0.252,0.4,0.167,0.854
CUST_00223,1,0.607,0.246,3,0.412,0.315,0.188,0.801
CUST_00224,1,0.918,0.539,5,0.399,0.289,0.176,0.543
CUST_00225,15,0.752,0.091,4,0.258,0.358,0.125,0.259
CUST_00226,1,0.523,0.736,3,0.431,0.494,0.165,0.95
CUST_00227,1,0.618,0.112,3,0.194,0.556,0.077,0.317
CUST_00228,10,0.964,0.503,4,0.274,0.644,0.119,0.849
CUST_00229,25,0.816,0.232,3,0.206,0.309,0.164,0.435
CUST_00230,7,0.415,0.626,3,0.144,0.367,0.061,0.723
CUST_00231,3,0.432,0.318,5,0.443,0.508,0.055,0.659
CUST_00232,15,0.923,0.814,3,0.335,0.289,0.117,0.383
CUST_00233,1,0.536,0.253,3,0.266,0.64,0.198,0.362
CUST_00234,2,0.522,0.306,2,0.192,0.68,0.172,0.593
CUST_00235,5,0.669,0.511,4,0.157,0.276,0.084,0.466
CUST_00236,1,0.515,0.706,4,0.134,0.511,0.17,0.225
CUST_00237,15,0.733,0.653,2,0.387,0.666,0.112,0.307
CUST_00238,1,0.832,0.762,4,0.115,0.299,0.165,0.83
CUST_00239,15,0.852,0.317,3,0.3,0.295,0.128,0.625
CUST_00240,2,0.811,0.106,3,0.114,0.398,0.05,0.61
CUST_00241,15,0.853,0.422,2,0.15,0.43,0.13,0.312
CUST_00242,1,0.831,0.466,4,0.138,0.363,0.115,0.896
CUST_00243,1,0.71,0.14,5,0.111,0.444,0.186,0.619
CUST_00244,1,0.919,0.462,4,0.277,0.426,0.114,0.638
CUST_00245,2,0.625,0.427,5,0.123,0.387,0.087,0.222
CUST_00246,2,0.585,0.475,3,0.253,0.474,0.174,0.712
CUST_00247,15,0.843,0.255,3,0.381,0.445,0.122,0.375
CUST_00248,1,0.689,0.542,3,0.227,0.316,0.056,0.712
CUST_00249,1,0.904,0.271,3,0.326,0.267,0.057,0.226
CUST_00250,1,0.799,0.102,2,0.357,0.67,0.119,0.905
CUST_00251,1,0.632,0.508,3,0.248,0.557,0.194,0.835
CUST_00252,25,0.864,0.35,2,0.403,0.636,0.096,0.513
CUST_00253,1,0.851,0.367,4,0.277,0.408,0.132,0.764
CUST_00254,7,0.835,0.48,3,0.267,0.581,0.074,0.723
CUST_00255,7,0.645,0.458,3,0.432,0.303,0.152,0.598
CUST_00256,3,0.512,0.311,2,0.202,0.368,0.135,0.765
CUST_00257,1,0.346,0.731,2,0.189,0.529,0.081,0.507
CUST_00258,1,0.794,0.414,4,0.192,0.391,0.182,0.278
CUST_00259,7,0.764,0.231,2,0.133,0.641,0.061,0.564
CUST_00260,1,0.706,0.527,4,0.331,0.454,0.192,0.625
CUST_00261,25,0.667,0.193,3,0.34,0.309,0.143,0.759
CUST_00262,3,0.768,0.41,4,0.284,0.381,0.104,0.159
CUST_00263,3,0.501,0.263,4,0.163,0.332,0.097,0.457
CUST_00264,1,0.544,0.283,4,0.404,0.685,0.132,0.491
CUST_00265,25,0.781,0.3,2,0.153,0.566,0.194,0.539
CUST_00266,25,0.78,0.29,4,0.338,0.618,0.113,0.73
CUST_00267,2,0.729,0.302,4,0.33,0.309,0.08,0.47
CUST_00268,7,0.875,0.255,2,0.408,0.411,0.057,0.781
CUST_00269,15,0.53,0.52,2,0.137,0.525,0.163,0.214
CUST_00270,1,0.898,0.253,4,0.219,0.477,0.044,0.623
CUST_00271,2,0.52,0.411,5,0.13,0.392,0.197,0.272
CUST_00272,5,0.547,0.387,5,0.345,0.451,0.065,0.531
CUST_00273,2,0.914,0.263,4,0.156,0.263,0.165,0.465
CUST_00274,1,0.835,0.241,3,0.413,0.532,0.121,0.752
CUST_00275,5,0.938,0.127,3,0.284,0.515,0.118,0.554
CUST_00276,1,0.671,0.18,5,0.229,0.678,0.132,0.518
CUST_00277,1,0.451,0.244,3,0.405,0.438,0.127,0.447
CUST_00278,3,0.83,0.248,4,0.348,0.507,0.165,0.873
CUST_00279,3,0.562,0.645,4,0.108,0.447,0.101,0.769
CUST_00280,7,0.907,0.375,4,0.142,0.341,0.158,0.48
CUST_00281,1,0.449,0.295,5,0.231,0.693,0.163,0.989
CUST_00282,5,0.861,0.76,3,0.205,0.428,0.051,0.535
CUST_00283,10,0.72,0.06,4,0.245,0.653,0.15,0.543
CUST_00284,10,0.911,0.403,2,0.198,0.665,0.091,0.463
CUST_00285,1,0.666,0.416,3,0.339,0.504,0.041,0.538
CUST_00286,7,0.694,0.571,4,0.179,0.375,0.101,0.757
CUST_00287,1,0.519,0.35,3,0.188,0.299,0.071,0.625
CUST_00288,1,0.9,0.573,3,0.203,0.422,0.046,0.661
CUST_00289,25,0.853,0.382,2,0.301,0.537,0.074,0.597
CUST_00290,2,0.932,0.797,4,0.12,0.478,0.172,0.538
CUST_00291,7,0.714,0.159,3,0.357,0.679,0.086,0.85
CUST_00292,5,0.658,0.51,2,0.395,0.66,0.034,0.803
CUST_00293,1,0.648,0.582,4,0.166,0.491,0.164,0.332
CUST_00294,7,0.352,0.421,3,0.343,0.572,0.114,0.864
CUST_00295,25,0.861,0.335,4,0.249,0.46,0.1,0.788
CUST_00296,7,0.961,0.301,4,0.196,0.568,0.2,0.974
CUST_00297,3,0.874,0.256,4,0.365,0.575,0.108,0.864
CUST_00298,1,0.856,0.373,3,0.108,0.603,0.187,0.513
CUST_00299,5,0.567,0.469,3,0.165,0.281,0.194,0.404
CUST_00300,1,0.922,0.17,4,0.429,0.514,0.115,0.909
CUST_00301,7,0.672,0.478,2,0.187,0.655,0.155,0.767
CUST_00302,1,0.762,0.374,2,0.137,0.595,0.085,0.575
CUST_00303,2,0.942,0.437,4,0.16,0.258,0.047,0.567
CUST_00304,7,0.388,0.572,2,0.37,0.595,0.188,0.818
CUST_00305,10,0.832,0.584,5,0.142,0.346,0.091,0.538
CUST_00306,1,0.635,0.415,4,0.409,0.393,0.175,0.53
CUST_00307,7,0.727,0.517,2,0.423,0.519,0.191,0.806
CUST_00308,15,0.644,0.411,4,0.234,0.395,0.105,0.405
CUST_00309,25,0.491,0.697,3,0.257,0.536,0.076,0.42
CUST_00310,10,0.723,0.331,2,0.264,0.32,0.062,0.109
CUST_00311,5,0.655,0.361,4,0.344,0.543,0.188,0.942
CUST_00312,7,0.956,0.531,5,0.281,0.335,0.102,0.414
CUST_00313,10,0.518,0.266,4,0.357,0.327,0.094,0.84
CUST_00314,1,0.832,0.247,4,0.135,0.277,0.158,0.136
CUST_00315,3,0.736,0.558,4,0.354,0.65,0.054,0.757
CUST_00316,1,0.701,0.609,5,0.426,0.694,0.176,0.872
CUST_00317,10,0.628,0.397,3,0.174,0.589,0.142,0.238
CUST_00318,15,0.545,0.069,4,0.31,0.54,0.094,0.75
CUST_00319,1,0.829,0.481,4,0.282,0.521,0.068,0.576
CUST_00320,7,0.759,0.39,3,0.443,0.4,0.171,0.264
CUST_00321,7,0.799,0.381,3,0.199,0.563,0.063,0.348
CUST_00322,1,0.424,0.037,5,0.152,0.678,0.103,0.92
CUST_00323,7,0.81,0.442,4,0.378,0.546,0.162,0.858
CUST_00324,1,0.829,0.42,2,0.122,0.659,0.165,0.88
CUST_00325,10,0.757,0.395,2,0.297,0.633,0.036,0.583
CUST_00326,3,0.725,0.459,4,0.183,0.335,0.081,0.708
CUST_00327,15,0.803,0.772,5,0.344,0.337,0.093,0.611
CUST_00328,1,0.852,0.427,3,0.103,0.42,0.195,0.405
CUST_00329,7,0.618,0.835,2,0.144,0.42,0.155,0.438
CUST_00330,3,0.691,0.601,4,0.431,0.324,0.04,0.71
CUST_00331,25,0.861,0.409,4,0.433,0.621,0.18,0.551
CUST_00332,5,0.874,0.341,3,0.358,0.506,0.067,0.425
CUST_00333,2,0.743,0.389,2,0.271,0.32,0.142,0.586
CUST_00334,2,0.746,0.18,3,0.293,0.61,0.151,0.584
CUST_00335,7,0.526,0.191,2,0.279,0.362,0.16,0.867
CUST_00336,25,0.851,0.077,2,0.243,0.388,0.138,0.479
CUST_00337,2,0.67,0.267,2,0.105,0.498,0.177,0.603
CUST_00338,1,0.744,0.395,2,0.291,0.404,0.153,0.596
CUST_00339,15,0.903,0.808,4,0.343,0.583,0.098,0.529
CUST_00340,7,0.843,0.554,3,0.16,0.271,0.07,0.1
CUST_00341,1,0.734,0.419,4,0.214,0.276,0.169,0.627
CUST_00342,10,0.879,0.574,2,0.402,0.335,0.113,0.955
CUST_00343,15,0.531,0.199,4,0.115,0.362,0.044,0.889
CUST_00344,3,0.875,0.719,2,0.204,0.48,0.172,0.851
CUST_00345,10,0.807,0.223,4,0.312,0.33,0.12,0.83
CUST_00346,25,0.737,0.224,2,0.302,0.682,0.077,0.56
CUST_00347,10,0.789,0.267,3,0.248,0.51,0.148,0.681
CUST_00348,1,0.727,0.14,5,0.23,0.566,0.143,0.4
CUST_00349,7,0.803,0.676,4,0.111,0.588,0.116,0.114
CUST_00350,1,0.771,0.37,3,0.21,0.539,0.171,0.339
CUST_00351,5,0.349,0.774,5,0.298,0.504,0.164,0.351
CUST_00352,1,0.886,0.233,4,0.202,0.318,0.109,0.499
CUST_00353,25,0.747,0.733,4,0.126,0.319,0.137,0.808
CUST_00354,25,0.666,0.308,3,0.407,0.543,0.054,0.798
CUST_00355,25,0.675,0.623,4,0.186,0.62,0.031,0.755
CUST_00356,1,0.886,0.305,3,0.197,0.267,0.056,0.687
CUST_00357,1,0.75,0.746,3,0.349,0.642,0.119,0.747
CUST_00358,2,0.3,0.581,5,0.36,0.582,0.084,0.656
CUST_00359,15,0.732,0.533,3,0.433,0.687,0.128,0.708
CUST_00360,2,0.866,0.203,4,0.341,0.447,0.078,0.399
CUST_00361,10,0.943,0.375,2,0.264,0.306,0.194,0.799
CUST_00362,1,0.467,0.256,4,0.302,0.308,0.138,0.375
CUST_00363,25,0.647,0.358,2,0.234,0.584,0.052,0.659
CUST_00364,10,0.692,0.139,3,0.413,0.292,0.114,0.6
CUST_00365,2,0.928,0.468,3,0.155,0.584,0.188,0.873
CUST_00366,7,0.778,0.288,3,0.168,0.328,0.147,0.383
CUST_00367,10,0.777,0.621,2,0.279,0.514,0.08,0.957
CUST_00368,10,0.946,0.431,3,0.136,0.375,0.133,0.941
CUST_00369,3,0.664,0.379,5,0.419,0.378,0.173,0.471
CUST_00370,5,0.712,0.43,2,0.117,0.255,0.048,0.556
CUST_00371,15,0.854,0.113,3,0.16,0.312,0.108,0.249
CUST_00372,7,0.863,0.066,4,0.172,0.285,0.195,0.662
CUST_00373,3,0.662,0.356,4,0.152,0.644,0.157,0.378
CUST_00374,5,0.775,0.638,3,0.285,0.472,0.104,0.791
CUST_00375,7,0.696,0.697,4,0.267,0.387,0.184,0.8
CUST_00376,1,0.283,0.624,3,0.447,0.626,0.119,0.73
CUST_00377,2,0.263,0.774,4,0.107,0.69,0.176,0.669
CUST_00378,7,0.783,0.337,3,0.246,0.697,0.083,0.348
CUST_00379,3,0.898,0.564,4,0.105,0.268,0.078,0.74
CUST_00380,7,0.936,0.59,3,0.384,0.537,0.102,0.599
CUST_00381,5,0.618,0.627,3,0.427,0.571,0.11,0.619
CUST_00382,1,0.697,0.328,2,0.383,0.644,0.108,0.82
CUST_00383,7,0.728,0.322,3,0.209,0.695,0.031,0.534
CUST_00384,1,0.478,0.346,4,0.251,0.536,0.061,0.88
CUST_00385,7,0.88,0.377,2,0.206,0.54,0.182,0.334
CUST_00386,5,0.724,0.389,4,0.375,0.375,0.16,0.58
CUST_00387,2,0.945,0.398,3,0.366,0.692,0.167,0.41
CUST_00388,10,0.64,0.251,3,0.157,0.616,0.167,0.368
CUST_00389,1,0.606,0.508,3,0.148,0.28,0.103,0.833
CUST_00390,25,0.525,0.066,3,0.24,0.275,0.149,0.815
CUST_00391,15,0.861,0.828,5,0.309,0.526,0.044,0.745
CUST_00392,25,0.777,0.485,4,0.343,0.443,0.103,0.159
CUST_00393,1,0.623,0.778,2,0.115,0.407,0.141,0.414
CUST_00394,2,0.62,0.601,3,0.119,0.655,0.15,0.805
CUST_00395,1,0.909,0.106,2,0.198,0.524,0.114,0.473
